,,,,,,,,,
,,,,,,,,,
Cuenta de TIPO,,,,,,,,,
,,,2016,2017,2018,2019,2020,2021,2022
,,Licenciatura en Kinesiología y Fisiatría,1032,1149,1255,1362,1364,1418,1398
,,Licenciatura en Nutrición,1356,1406,1441,1554,1661,2087,1792
,,Licenciatura en Obstetricia,345,390,422,463,485,609,479
,,Medicina,6334,7213,8272,9001,9919,9179,10082
,,Tecnicatura Universitaria en Anestesia,226,269,306,263,225,213,
,,Tecnicatura Universitaria en Cosmetología Facial y Corporal,376,488,583,761,792,1166,1062
,,Tecnicatura Universitaria en Hemoterapia e Inmunohematología,265,275,322,316,274,280,202
,,Tecnicatura Universitaria en Instrumentación Quirúrgica,388,627,719,833,927,1093,991
,,Tecnicatura Universitaria en Podología,99,77,71,97,96,297,174
,,Tecnicatura Universitaria en Prácticas Cardiológicas,79,68,83,129,122,128,124
,,Técnico Radiólogo Universitario,616,721,940,898,816,629,505
,Odontologia,,621,734,918,996,992,1033,1187
,,Odontología,621,734,918,996,992,1033,1187
,Psicologia,,5291,5445,5898,6600,6974,8078,7214
,,Licenciatura en Musicoterapia,192,208,170,215,207,164,140
,,Licenciatura en Psicología,4869,5035,5517,6151,6538,7635,6862
,,Profesorado de Enseñanza Media y Superior en Psicología,1,1,5,10,44,91,63
,,Terapia Ocupacional,229,201,206,224,185,188,149
,Rectorado,,35,18,12,25,13,4,17
,,Tecnicatura en Administración y Gestión Universitaria,35,18,12,25,13,4,17
